[Tx] BF 03 7F 
[Rx] B0 00 40 
[Rx] B0 01 40 
[Rx] B0 02 40 
[Rx] B0 03 7F 
[Rx] B0 05 7F 
[Rx] B0 06 40 
[Rx] B0 07 7F 
[Rx] B0 08 7F 
[Rx] B0 09 7F 
[Rx] B0 0A 7F 
[Rx] B0 0B 00 
[Rx] B0 0C 00 
[Rx] B0 0D 7F 
[Rx] B0 0E 7F 
[Rx] B0 0F 00 
[Rx] B0 1D 7F 
[Rx] B0 1E 7F 
[Rx] B0 38 7F 
[Rx] B0 39 7F 
[Rx] B0 3A 7F 
[Rx] B0 3B 7F 
[Rx] B0 40 7F 
[Rx] B0 41 7F 
[Rx] B0 42 7F 
[Rx] B0 43 7F 
[Rx] B0 52 7F 
[Rx] B0 53 7F 
[Rx] B0 60 00 
[Rx] B1 00 00 
[Rx] B1 01 01 
[Rx] B1 10 00 
[Rx] B1 11 03 
[Rx] B1 20 00 
[Rx] B1 21 07 
[Rx] B1 22 20 
[Rx] B1 40 40 
[Rx] B1 50 00 
[Rx] B1 51 40 
[Rx] B1 52 40 
[Rx] B1 53 40 
[Rx] B1 54 40 
[Rx] B1 55 40 
[Rx] B1 56 40 
[Rx] B1 57 40 
[Rx] B1 58 40 
[Rx] B1 59 40 
[Rx] B1 5A 40 
[Rx] B1 5B 40 
[Rx] B1 5C 40 
[Rx] B1 5D 40 
[Rx] B1 5E 40 
[Rx] B1 5F 40 
[Rx] B1 60 00 
[Rx] B1 62 00 
[Rx] B1 63 40 
[Rx] B1 64 0c 
[Rx] B1 65 07 
[Rx] B1 66 40 
[Rx] B1 67 12 
[Rx] B1 68 07 
[Rx] B1 69 40 
[Rx] B1 6A 18 
[Rx] B1 6B 07 
[Rx] B1 6C 40 
[Rx] B1 6D 1E 
[Rx] B1 6E 07 
[Rx] B1 6F 40 
[Rx] B1 70 24 
[Rx] B1 71 07 
[Rx] B1 72 40 
[Rx] B1 73 2A 
[Rx] B1 74 07 
[Rx] B1 75 00 
[Rx] B1 76 40 
[Rx] B1 77 30 
[Rx] B1 78 07 
[Rx] B2 00 00 
[Rx] B2 02 40 
[Rx] B2 04 14 
[Rx] B2 05 32 
[Rx] B2 06 40 
[Rx] B2 07 7F 
[Rx] B2 08 00 
[Rx] B2 09 00 
[Rx] B2 0A 00 
[Rx] B2 0B 3F 
[Rx] B2 0C 3F 
[Rx] B2 0D 3F 
[Rx] B2 0E 40 
[Rx] B2 0F 40 
[Rx] B2 10 40 
[Rx] B2 11 40 
[Rx] B2 12 00 
[Rx] B2 13 01 
[Rx] B2 18 00 
[Rx] B2 19 00 
[Rx] B2 20 00 
[Rx] B2 22 02 
[Rx] B2 23 40 
[Rx] B2 25 0A 
[Rx] B2 26 00 
[Rx] B2 27 40 
[Rx] B2 2C 00 
[Rx] B2 30 00 
[Rx] B2 40 00 
[Rx] B2 41 00 
[Rx] B2 42 40 
[Rx] B2 43 0C 
[Rx] B2 44 07 
[Rx] B2 45 40 
[Rx] B2 46 12 
[Rx] B2 47 07 
[Rx] B2 48 40 
[Rx] B2 49 18 
[Rx] B2 4A 07 
[Rx] B2 4B 40 
[Rx] B2 4C 1E 
[Rx] B2 4D 07 
[Rx] B2 4E 00 
[Rx] B2 4F 40 
[Rx] B2 50 24 
[Rx] B2 51 07 
[Rx] B2 52 06 
[Rx] B2 53 00 
[Rx] B2 54 06 
[Rx] B2 55 6F 
[Rx] B2 60 00 
[Rx] B2 61 00 
[Rx] B2 62 40 
[Rx] B2 63 0C 
[Rx] B2 64 07 
[Rx] B2 65 40 
[Rx] B2 66 12 
[Rx] B2 67 07 
[Rx] B2 68 40 
[Rx] B2 69 18 
[Rx] B2 6A 07 
[Rx] B2 6B 40 
[Rx] B2 6C 1E 
[Rx] B2 6D 07 
[Rx] B2 6E 00 
[Rx] B2 6F 40 
[Rx] B2 70 24 
[Rx] B2 71 07 
[Rx] B2 72 06 
[Rx] B2 73 00 
[Rx] B2 74 06 
[Rx] B2 75 6F 
[Rx] B3 00 00 
[Rx] B3 02 40 
[Rx] B3 03 40 
[Rx] B3 20 00 
[Rx] B3 21 40 
[Rx] B3 22 40 
[Rx] B3 23 40 
[Rx] B3 24 40 
[Rx] B3 25 40 
[Rx] B3 26 40 
[Rx] B3 27 40 
[Rx] B3 28 40 
[Rx] B3 29 40 
